Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
05/13/2017,TOYT,4T,,TAN,,IL,10300 S. Doty,(773) 568-8495,2822103
07/07/2017,GMC,PK,,TAN,,IL,701 N. Sacramento,(773) 265-7605,6890870
05/13/2017,BMW,4T,,SIL,Z727556,IL,10300 S. Doty,(773) 568-8495,2822100
05/13/2017,FORD,VN,,WHI,Z964648,IL,10300 S. Doty,(773) 568-8495,2822101
06/09/2017,BUIC,4D,,RED,347T093,IL,701 N. Sacramento,(773) 265-7605,6888206
07/11/2017,FORD,4D,,BLU,AH31475,IL,701 N. Sacramento,(773) 265-7605,6891203
06/05/2017,,MC,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6887970
06/09/2017,DODG,VN,,WHI,EIS806,IA,10300 S. Doty,(773) 785-9752,1717201
08/04/2017,KIA,4D,,RED,6098857,IN,10300 S. Doty,(773) 568-8495,2828162
08/04/2017,TOYT,LL,,SIL,Q623936,IL,701 N. Sacramento,(773) 265-7605,6893306
08/04/2017,DODG,4D,,RED,688T969,IL,10300 S. Doty,(773) 568-8495,2828164
08/04/2017,HOND,4D,,BLU,V173687,IL,10300 S. Doty,(773) 568-8495,2828163
08/04/2017,TOYT,4D,,TAN,E238757,IL,701 N. Sacramento,(773) 265-7605,6893307
08/04/2017,JEEP,4D,,RED,R989906,IL,701 N. Sacramento,(773) 265-7605,6893314
08/04/2017,HOND,VN,,GRY,ZZ37893,IL,10300 S. Doty,(773) 568-8495,2828169
08/04/2017,TOYT,4D,,GRY,AL54833,IL,701 N. Sacramento,(773) 265-7605,6893315
08/04/2017,TOYT,4D,,BLU,E800611,IL,10300 S. Doty,(773) 568-8495,2828170
08/04/2017,LINC,LL,,WHI,Q996434,IL,701 N. Sacramento,(773) 265-7605,6893310
08/04/2017,SATR,4D,,GRN,,IL,10300 S. Doty,(773) 785-9752,1717404
08/04/2017,JEEP,LL,,SIL,Q706857,IL,10300 S. Doty,(773) 568-8495,2828233
08/04/2017,NISS,4D,,GRY,ZY12238,IL,10300 S. Doty,(773) 568-8495,2828235
08/04/2017,TOYT,4D,,GRY,V765164,IL,10300 S. Doty,(773) 568-8495,2828237
08/04/2017,KIA,LL,,SIL,Z986543,IL,10300 S. Doty,(773) 568-8495,2828238
08/04/2017,CHEV,LL,,BLU,Q346309,IL,10300 S. Doty,(773) 568-8495,2828234
07/30/2017,FORD,LL,,BLK,,,10300 S. Doty,(773) 568-8495,2827732
08/04/2017,PONT,4D,,RED,AG60133,IL,10300 S. Doty,(773) 568-8495,2828232
08/04/2017,TOYT,4D,,RED,Q894310,IL,10300 S. Doty,(773) 568-8495,2828230
08/04/2017,DODG,PK,,SIL,28173ZB,IL,10300 S. Doty,(773) 785-9752,1717405
08/04/2017,DODG,4D,,RED,V157471,IL,10300 S. Doty,(773) 568-8495,2828231
08/04/2017,DODG,4D,,GRN,Z995010,IL,10300 S. Doty,(773) 785-9752,1717408
08/04/2017,FORD,VN,,BLK,1296421B,IL,10300 S. Doty,(773) 785-9752,1717407
08/04/2017,CHEV,LL,,RED,1772460,IL,10300 S. Doty,(773) 568-8495,2828247
08/04/2017,TOYT,4D,,WHI,ZU36676,IL,701 N. Sacramento,(773) 265-7605,6893353
08/05/2017,HOND,4D,,BLU,AH30800,IL,701 N. Sacramento,(773) 265-7605,6893444
08/05/2017,SAA,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2828383
08/05/2017,CHEV,LL,,SIL,ZY25350,IL,701 N. Sacramento,(773) 265-7605,6893445
08/05/2017,FORD,4D,,BLK,HPY3253,NY,701 N. Sacramento,(773) 265-7605,6893447
07/08/2017,HYUN,4D,,SIL,Q460163,IL,701 N. Sacramento,(773) 265-7605,6890951
07/07/2017,CHEV,4D,,BRO,,IL,701 N. Sacramento,(773) 265-7605,6890916
07/07/2017,VOLK,4D,,RED,,IL,701 N. Sacramento,(773) 265-7605,6890915
06/09/2017,TOYT,2D,,SIL,9894,FL,701 N. Sacramento,(773) 265-7605,6888211
08/07/2017,CHEV,LL,TK,GLD,AG62009,IL,10300 S. Doty,(773) 568-8495,2828490
08/08/2017,FORD,4D,,GRY,Q6322978,IL,701 N. Sacramento,(773) 265-7605,6893653
05/13/2017,BUIC,4D,,GRY,451T201,IL,701 N. Sacramento,(773) 265-7605,6885892
06/11/2017,CHEV,LL,,TAN,N565200,IL,10300 S. Doty,(773) 568-8495,2824460
07/10/2017,HOND,4D,,WHI,AG22498,IL,701 N. Sacramento,(773) 265-7605,6891146
06/09/2017,NISS,4D,,BLU,525T575,IL,701 N. Sacramento,(773) 265-7605,6888162
08/08/2017,MERZ,4D,,BLK,Y701939,IL,701 N. Sacramento,(773) 265-1846,1536280
06/09/2017,CHEV,4D,,WHI,AH42322,IL,701 N. Sacramento,(773) 265-7605,6888236
07/05/2017,HYUN,4D,,RED,AG58027,IL,10300 S. Doty,(773) 568-8495,2825871
08/08/2017,MERC,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6893658
08/08/2017,SUBA,SW,,WHI,S943014,IL,701 N. Sacramento,(773) 265-7605,6893654
07/10/2017,CHEV,2D,,BLK,265T898,IL,701 N. Sacramento,(773) 265-7605,6891144
07/10/2017,VOLK,4D,,BLU,E336891,IL,701 N. Sacramento,(773) 265-1846,1536143
08/08/2017,GMC,LL,,GRY,R823872,IL,701 N. Sacramento,(773) 265-7605,6893655
08/08/2017,TOYT,4D,,BLK,Z158136,IL,10300 S. Doty,(773) 568-8495,2828544
07/06/2017,CHEV,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2825930
08/08/2017,BENT,2D,,DBL,Q596055,IL,10300 S. Doty,(773) 568-8495,2828543
06/09/2017,DODG,2D,,SIL,DHW6825,MI,10300 S. Doty,(773) 568-8495,2824268
05/13/2017,TOYT,4D,,DBL,,IL,10300 S. Doty,(773) 568-8495,2822092
07/10/2017,BMW,4D,,BLK,Q904096,IL,701 N. Sacramento,(773) 265-7605,6891120
08/08/2017,TOYT,4D,,BLK,6369,IL,400 E. Lower Wacker,(312) 744-7550,971212
06/09/2017,PONT,4D,,GLD,Q458128,IL,10300 S. Doty,(773) 568-8495,2824276
08/08/2017,NISS,4D,,WHI,Q764024,IL,701 N. Sacramento,(773) 265-7605,6893657
