Clinton,Trump,Rpt,State,Vote by county,Vote by town,Place
151581.0,130614.0,100,Alabama,Jefferson,,Jefferson
68429.0,91087.0,100,Alabama,Mobile,,Mobile
62435.0,89199.0,100,Alabama,Madison,,Madison
22927.0,72846.0,100,Alabama,Shelby,,Shelby
58669.0,33928.0,100,Alabama,Montgomery,,Montgomery
18409.0,72780.0,100,Alabama,Baldwin,,Baldwin
31746.0,47701.0,100,Alabama,Tuscaloosa,,Tuscaloosa
20987.0,34321.0,100,Alabama,Lee,,Lee
11216.0,37392.0,100,Alabama,Morgan,,Morgan
13197.0,32803.0,100,Alabama,Calhoun,,Calhoun
10350.0,32132.0,100,Alabama,Etowah,,Etowah
10547.0,30567.0,100,Alabama,Houston,,Houston
9340.0,28824.0,100,Alabama,Limestone,,Limestone
9877.0,27735.0,100,Alabama,Lauderdale,,Lauderdale
5550.0,31579.0,100,Alabama,St. Clair,,St. Clair
3730.0,32734.0,100,Alabama,Cullman,,Cullman
8436.0,27619.0,100,Alabama,Elmore,,Elmore
4913.0,29217.0,100,Alabama,Marshall,,Marshall
12108.0,20596.0,100,Alabama,Talladega,,Talladega
4486.0,24208.0,100,Alabama,Walker,,Walker
3682.0,21779.0,100,Alabama,DeKalb,,DeKalb
2150.0,22808.0,100,Alabama,Blount,,Blount
5908.0,18110.0,100,Alabama,Autauga,,Autauga
7296.0,16718.0,100,Alabama,Colbert,,Colbert
3663.0,16643.0,100,Alabama,Jackson,,Jackson
4194.0,15825.0,100,Alabama,Coffee,,Coffee
9577.0,9210.0,100,Alabama,Russell,,Russell
12826.0,5784.0,100,Alabama,Dallas,,Dallas
4408.0,13798.0,100,Alabama,Dale,,Dale
5271.0,12967.0,100,Alabama,Tallapoosa,,Tallapoosa
2909.0,15068.0,100,Alabama,Chilton,,Chilton
2379.0,13222.0,100,Alabama,Covington,,Covington
4698.0,10282.0,100,Alabama,Escambia,,Escambia
3611.0,10732.0,100,Alabama,Lawrence,,Lawrence
5763.0,7803.0,100,Alabama,Chambers,,Chambers
5039.0,7681.0,100,Alabama,Pike,,Pike
5712.0,7109.0,100,Alabama,Clarke,,Clarke
1432.0,11273.0,100,Alabama,Marion,,Marion
2197.0,9466.0,100,Alabama,Franklin,,Franklin
1522.0,9967.0,100,Alabama,Geneva,,Geneva
5607.0,5224.0,100,Alabama,Marengo,,Marengo
1524.0,8809.0,100,Alabama,Cherokee,,Cherokee
4848.0,5431.0,100,Alabama,Barbour,,Barbour
871.0,9225.0,100,Alabama,Winston,,Winston
4310.0,5771.0,100,Alabama,Monroe,,Monroe
2290.0,7697.0,100,Alabama,Randolph,,Randolph
3972.0,5454.0,100,Alabama,Pickens,,Pickens
7237.0,1394.0,100,Alabama,Macon,,Macon
1874.0,6733.0,100,Alabama,Bibb,,Bibb
3716.0,4891.0,100,Alabama,Butler,,Butler
2366.0,6031.0,100,Alabama,Washington,,Washington
1358.0,6705.0,100,Alabama,Fayette,,Fayette
2286.0,5623.0,100,Alabama,Henry,,Henry
4772.0,3172.0,100,Alabama,Hale,,Hale
3109.0,4102.0,100,Alabama,Choctaw,,Choctaw
1035.0,5819.0,100,Alabama,Lamar,,Lamar
4882.0,1751.0,100,Alabama,Lowndes,,Lowndes
1234.0,5230.0,100,Alabama,Clay,,Clay
3069.0,3413.0,100,Alabama,Conecuh,,Conecuh
684.0,5738.0,100,Alabama,Cleburne,,Cleburne
4739.0,1581.0,100,Alabama,Sumter,,Sumter
1663.0,4511.0,100,Alabama,Crenshaw,,Crenshaw
4329.0,1737.0,100,Alabama,Wilcox,,Wilcox
3823.0,1403.0,100,Alabama,Perry,,Perry
1780.0,3376.0,100,Alabama,Coosa,,Coosa
4006.0,838.0,100,Alabama,Greene,,Greene
3530.0,1139.0,100,Alabama,Bullock,,Bullock
524360.0,566019.0,100,Arizona,Maricopa,,Maricopa
183199.0,138819.0,100,Arizona,Pima,,Pima
29492.0,58573.0,100,Arizona,Yavapai,,Yavapai
29546.0,44432.0,100,Arizona,Pinal,,Pinal
15536.0,51312.0,100,Arizona,Mohave,,Mohave
25308.0,16573.0,100,Arizona,Coconino,,Coconino
15291.0,25036.0,100,Arizona,Cochise,,Cochise
18336.0,20586.0,100,Arizona,Yuma,,Yuma
15362.0,18165.0,100,Arizona,Navajo,,Navajo
6295.0,12342.0,100,Arizona,Gila,,Gila
12196.0,5315.0,100,Arizona,Apache,,Apache
3274.0,7899.0,100,Arizona,Graham,,Graham
7769.0,2556.0,100,Arizona,Santa Cruz,,Santa Cruz
1318.0,3381.0,100,Arizona,La Paz,,La Paz
1092.0,1892.0,100,Arizona,Greenlee,,Greenlee
89377.0,61182.0,100,Arkansas,Pulaski,,Pulaski
27894.0,60751.0,100,Arkansas,Benton,,Benton
32296.0,40418.0,100,Arkansas,Washington,,Washington
13247.0,35852.0,100,Arkansas,Saline,,Saline
14525.0,29170.0,100,Arkansas,Faulkner,,Faulkner
12184.0,28769.0,100,Arkansas,Sebastian,,Sebastian
12283.0,26053.0,100,Arkansas,Garland,,Garland
10474.0,22798.0,100,Arkansas,Craighead,,Craighead
5157.0,21038.0,100,Arkansas,White,,White
5638.0,19902.0,100,Arkansas,Lonoke,,Lonoke
15721.0,9231.0,100,Arkansas,Jefferson,,Jefferson
4476.0,16655.0,100,Arkansas,Crawford,,Crawford
4818.0,15694.0,100,Arkansas,Pope,,Pope
4163.0,14655.0,100,Arkansas,Baxter,,Baxter
5667.0,10201.0,100,Arkansas,Union,,Union
2925.0,12225.0,100,Arkansas,Boone,,Boone
4273.0,11293.0,100,Arkansas,Miller,,Miller
8368.0,6953.0,100,Arkansas,Crittenden,,Crittenden
3056.0,10698.0,100,Arkansas,Greene,,Greene
2878.0,9925.0,100,Arkansas,Independence,,Independence
5621.0,6988.0,100,Arkansas,Mississippi,,Mississippi
2101.0,9454.0,100,Arkansas,Cleburne,,Cleburne
3137.0,8153.0,100,Arkansas,Hot Spring,,Hot Spring
3334.0,6773.0,100,Arkansas,Carroll,,Carroll
4320.0,5347.0,100,Arkansas,Ouachita,,Ouachita
2421.0,6072.0,100,Arkansas,Johnson,,Johnson
3140.0,5456.0,100,Arkansas,Columbia,,Columbia
3606.0,4398.0,100,Arkansas,Clark,,Clark
1210.0,6606.0,100,Arkansas,Polk,,Polk
2408.0,5338.0,100,Arkansas,Ashley,,Ashley
2655.0,4844.0,100,Arkansas,Conway,,Conway
1712.0,5737.0,100,Arkansas,Logan,,Logan
4031.0,3195.0,100,Arkansas,Saint Francis,,Saint Francis
1472.0,5405.0,100,Arkansas,Sharp,,Sharp
1547.0,5382.0,100,Arkansas,Van Buren,,Van Buren
2371.0,4391.0,100,Arkansas,Hempstead,,Hempstead
4292.0,2443.0,100,Arkansas,Phillips,,Phillips
1407.0,5160.0,100,Arkansas,Grant,,Grant
1995.0,4577.0,100,Arkansas,Cross,,Cross
1587.0,4917.0,100,Arkansas,Madison,,Madison
1377.0,5077.0,100,Arkansas,Marion,,Marion
1376.0,5034.0,100,Arkansas,Franklin,,Franklin
2364.0,3967.0,100,Arkansas,Drew,,Drew
1472.0,4600.0,100,Arkansas,Yell,,Yell
1425.0,4508.0,100,Arkansas,Randolph,,Randolph
1939.0,3825.0,100,Arkansas,Arkansas,,Arkansas
1999.0,3779.0,100,Arkansas,Clay,,Clay
1263.0,4064.0,100,Arkansas,Lawrence,,Lawrence
1189.0,4081.0,100,Arkansas,Stone,,Stone
1111.0,4042.0,100,Arkansas,Izard,,Izard
1878.0,3149.0,100,Arkansas,Poinsett,,Poinsett
1397.0,3604.0,100,Arkansas,Little River,,Little River
1583.0,3262.0,100,Arkansas,Jackson,,Jackson
1067.0,3470.0,100,Arkansas,Fulton,,Fulton
1350.0,3155.0,100,Arkansas,Howard,,Howard
1075.0,3281.0,100,Arkansas,Sevier,,Sevier
1035.0,2979.0,100,Arkansas,Perry,,Perry
2227.0,1915.0,100,Arkansas,Desha,,Desha
2350.0,1716.0,100,Arkansas,Chicot,,Chicot
684.0,3150.0,100,Arkansas,Pike,,Pike
1252.0,2455.0,100,Arkansas,Lincoln,,Lincoln
699.0,2875.0,100,Arkansas,Newton,,Newton
601.0,2955.0,100,Arkansas,Searcy,,Searcy
1317.0,2163.0,100,Arkansas,Bradley,,Bradley
735.0,2573.0,100,Arkansas,Montgomery,,Montgomery
812.0,2503.0,100,Arkansas,Prairie,,Prairie
723.0,2460.0,100,Arkansas,Cleveland,,Cleveland
1156.0,2001.0,100,Arkansas,Nevada,,Nevada
507.0,2378.0,100,Arkansas,Scott,,Scott
1735.0,1229.0,100,Arkansas,Lee,,Lee
1028.0,1750.0,100,Arkansas,Lafayette,,Lafayette
1298.0,1400.0,100,Arkansas,Monroe,,Monroe
1165.0,1507.0,100,Arkansas,Dallas,,Dallas
1117.0,1344.0,100,Arkansas,Woodruff,,Woodruff
636.0,1554.0,100,Arkansas,Calhoun,,Calhoun
1601382.0,525308.0,100,California,Los Angeles,,Los Angeles
396712.0,357174.0,100,California,Orange,,Orange
390531.0,269422.0,100,California,San Diego,,San Diego
228731.0,219359.0,100,California,Riverside,,Riverside
220853.0,188080.0,100,California,San Bernardino,,San Bernardino
312994.0,91990.0,100,California,Santa Clara,,Santa Clara
300185.0,59384.0,100,California,Alameda,,Alameda
186237.0,114359.0,100,California,Sacramento,,Sacramento
201936.0,76743.0,100,California,Contra Costa,,Contra Costa
228211.0,26461.0,100,California,San Francisco,,San Francisco
136848.0,97516.0,100,California,Ventura,,Ventura
152134.0,37996.0,100,California,San Mateo,,San Mateo
82863.0,79858.0,100,California,Fresno,,Fresno
64980.0,95064.0,100,California,Kern,,Kern
116027.0,37421.0,100,California,Sonoma,,Sonoma
71349.0,56194.0,100,California,San Joaquin,,San Joaquin
79015.0,41481.0,100,California,Solano,,Solano
72605.0,38973.0,100,California,Santa Barbara,,Santa Barbara
51171.0,52567.0,100,California,Stanislaus,,Stanislaus
43915.0,55212.0,100,California,Placer,,Placer
46965.0,39263.0,100,California,San Luis Obispo,,San Luis Obispo
64333.0,13127.0,100,California,Marin,,Marin
60529.0,14523.0,100,California,Santa Cruz,,Santa Cruz
31638.0,35354.0,100,California,Butte,,Butte
47387.0,19580.0,100,California,Monterey,,Monterey
28026.0,37286.0,100,California,El Dorado,,El Dorado
23663.0,33372.0,100,California,Tulare,,Tulare
15533.0,35256.0,100,California,Shasta,,Shasta
34460.0,13178.0,100,California,Yolo,,Yolo
21856.0,18486.0,100,California,Merced,,Merced
13283.0,19221.0,100,California,Madera,,Madera
19596.0,10883.0,100,California,Humboldt,,Humboldt
16199.0,14686.0,100,California,Nevada,,Nevada
20454.0,9335.0,100,California,Napa,,Napa
9077.0,13158.0,100,California,Kings,,Kings
14331.0,5607.0,100,California,Imperial,,Imperial
7599.0,10947.0,100,California,Sutter,,Sutter
6740.0,11064.0,100,California,Calaveras,,Calaveras
7075.0,10614.0,100,California,Tuolumne,,Tuolumne
4764.0,10528.0,100,California,Tehama,,Tehama
5115.0,8869.0,100,California,Yuba,,Yuba
5252.0,8392.0,100,California,Siskiyou,,Siskiyou
6240.0,5752.0,100,California,Lake,,Lake
6751.0,4358.0,100,California,San Benito,,San Benito
6905.0,3571.0,100,California,Mendocino,,Mendocino
3420.0,6069.0,100,California,Amador,,Amador
3224.0,5079.0,100,California,Plumas,,Plumas
